"school","series","rank","salary"
"Oberlin","real","assoc_2020",94994.3
"Oberlin","real","full_2020",122742.26
"Pomona","cola_adjusted","all_fac_2020",43366.65963
"Pomona","cola_adjusted","assist_2020",33829.90135
"Pomona","cola_adjusted","assoc_2020",41165.64921
"Pomona","cola_adjusted","full_2020",55048.30324
"Pomona","real","all_fac_2020",126433.41
"Pomona","real","assist_2020",98629.45
"Pomona","real","assoc_2020",120016.47
"Pomona","real","full_2020",160490.68
"Swarthmore","cola_adjusted","all_fac_2020",108290.18268
"Swarthmore","cola_adjusted","assist_2020",76816.32612
"Swarthmore","cola_adjusted","assoc_2020",97664.76696
"Swarthmore","cola_adjusted","full_2020",136943.88864
"Swarthmore","real","all_fac_2020",123618.93
"Swarthmore","real","assist_2020",87689.87
"Swarthmore","real","assoc_2020",111489.46
"Swarthmore","real","full_2020",156328.64
"Vassar","cola_adjusted","all_fac_2020",108955.6845
"Vassar","cola_adjusted","assist_2020",87026.18925
"Vassar","cola_adjusted","assoc_2020",108706.0845
"Vassar","cola_adjusted","full_2020",139218.5925
"Vassar","real","all_fac_2020",111749.42
"Vassar","real","assist_2020",89257.63
"Vassar","real","assoc_2020",111493.42
"Vassar","real","full_2020",142788.3
"Washington and Lee","cola_adjusted","all_fac_2020",135641.61594
"Washington and Lee","cola_adjusted","assist_2020",108761.38776
"Washington and Lee","cola_adjusted","assoc_2020",132259.23891
"Washington and Lee","cola_adjusted","full_2020",164424.25332
"Washington and Lee","real","all_fac_2020",118671.58
"Washington and Lee","real","assist_2020",95154.32
"Washington and Lee","real","assoc_2020",115712.37
"Washington and Lee","real","full_2020",143853.24
"Wesleyan","cola_adjusted","all_fac_2020",108809.03666
"Wesleyan","cola_adjusted","assist_2020",88835.87124
"Wesleyan","cola_adjusted","assoc_2020",108121.36344
"Wesleyan","cola_adjusted","full_2020",154335.00442
"Wesleyan","real","all_fac_2020",111713.59
"Wesleyan","real","assist_2020",91207.26
"Wesleyan","real","assoc_2020",111007.56
"Wesleyan","real","full_2020",158454.83
"Williams","cola_adjusted","all_fac_2020",121289.13415
"Williams","cola_adjusted","assist_2020",92992.75439
"Williams","cola_adjusted","assoc_2020",105085.38234
"Williams","cola_adjusted","full_2020",148553.85318
"Williams","real","all_fac_2020",122390.65
"Williams","real","assist_2020",93837.29
"Williams","real","assoc_2020",106039.74
"Williams","real","full_2020",149902.98
